data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-20;6.87;0.0;-6.02;Estado Sp;2026-03-23 10:07:35
2026-03-19;6.87;0.0;-6.02;Estado Sp;2026-03-23 10:07:35
2026-03-18;6.87;-2.0;-6.02;Estado Sp;2026-03-23 10:07:35
2026-03-17;7.01;-0.43;-4.1;Estado Sp;2026-03-23 10:07:35
2026-03-16;7.04;-0.42;-3.69;Estado Sp;2026-03-23 10:07:35
2026-03-13;7.07;-0.28;-3.28;Estado Sp;2026-03-23 10:07:35
2026-03-12;7.09;0.0;-3.01;Estado Sp;2026-03-23 10:07:35
2026-03-11;7.09;0.0;-3.01;Estado Sp;2026-03-23 10:07:35
2026-03-10;7.09;0.0;-3.01;Estado Sp;2026-03-23 10:07:35
2026-03-09;7.09;-0.14;-3.01;Estado Sp;2026-03-23 10:07:35
2026-03-06;7.1;0.0;-2.87;Estado Sp;2026-03-23 10:07:35
2026-03-05;7.1;0.0;-2.87;Estado Sp;2026-03-23 10:07:35
2026-03-04;7.1;-0.14;-2.87;Estado Sp;2026-03-23 10:07:35
2026-03-03;7.11;-0.84;-2.74;Estado Sp;2026-03-23 10:07:35
2026-03-02;7.17;-1.92;-1.92;Estado Sp;2026-03-23 10:07:35
