data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-20;348.65;0.23;-1.27;Media Móvel (5 Últimos Indic.);2026-03-23 10:06:06
2026-03-19;347.84;0.12;-1.5;Media Móvel (5 Últimos Indic.);2026-03-23 10:06:06
2026-03-18;347.42;0.09;-1.62;Media Móvel (5 Últimos Indic.);2026-03-23 10:06:06
2026-03-17;347.1;0.05;-1.71;Media Móvel (5 Últimos Indic.);2026-03-23 10:06:06
2026-03-16;346.92;-0.05;-1.76;Media Móvel (5 Últimos Indic.);2026-03-23 10:06:06
2026-03-13;347.11;0.03;-1.71;Media Móvel (5 Últimos Indic.);2026-03-23 10:06:06
