data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-20;1962.67;1.98;9.18;Indicador Do Café Arábica Cepea/Esalq;2026-03-23 10:06:21
2026-03-19;1924.51;0.39;7.06;Indicador Do Café Arábica Cepea/Esalq;2026-03-23 10:06:21
2026-03-18;1917.02;-0.53;6.64;Indicador Do Café Arábica Cepea/Esalq;2026-03-23 10:06:21
2026-03-17;1927.15;1.0;7.21;Indicador Do Café Arábica Cepea/Esalq;2026-03-23 10:06:21
2026-03-16;1908.03;1.57;6.14;Indicador Do Café Arábica Cepea/Esalq;2026-03-23 10:06:21
2026-03-13;1878.47;-1.19;4.5;Indicador Do Café Arábica Cepea/Esalq;2026-03-23 10:06:21
2026-03-12;1901.07;1.51;5.76;Indicador Do Café Arábica Cepea/Esalq;2026-03-23 10:06:21
2026-03-11;1872.75;-2.39;4.18;Indicador Do Café Arábica Cepea/Esalq;2026-03-23 10:06:21
2026-03-10;1918.6;-0.56;6.73;Indicador Do Café Arábica Cepea/Esalq;2026-03-23 10:06:21
2026-03-09;1929.37;0.85;7.33;Indicador Do Café Arábica Cepea/Esalq;2026-03-23 10:06:21
2026-03-06;1913.12;2.04;6.43;Indicador Do Café Arábica Cepea/Esalq;2026-03-23 10:06:21
2026-03-05;1874.79;0.8;4.29;Indicador Do Café Arábica Cepea/Esalq;2026-03-23 10:06:21
2026-03-04;1859.96;0.36;3.47;Indicador Do Café Arábica Cepea/Esalq;2026-03-23 10:06:21
2026-03-03;1853.29;0.68;3.1;Indicador Do Café Arábica Cepea/Esalq;2026-03-23 10:06:21
2026-03-02;1840.71;2.4;2.4;Indicador Do Café Arábica Cepea/Esalq;2026-03-23 10:06:21
