data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-20;30.77;0.2;-2.84;Laranja Indústria;2026-03-23 10:06:36
2026-03-19;30.71;-0.65;-3.03;Laranja Indústria;2026-03-23 10:06:36
2026-03-18;30.91;-0.64;-2.4;Laranja Indústria;2026-03-23 10:06:36
2026-03-17;31.11;0.35;-1.77;Laranja Indústria;2026-03-23 10:06:36
2026-03-16;31.0;-5.66;-2.12;Laranja Indústria;2026-03-23 10:06:36
2026-03-13;32.86;-1.41;3.76;Laranja Indústria;2026-03-23 10:06:36
2026-03-12;33.33;3.45;5.24;Laranja Indústria;2026-03-23 10:06:36
2026-03-11;32.22;0.69;1.74;Laranja Indústria;2026-03-23 10:06:36
2026-03-10;32.0;-0.84;1.04;Laranja Indústria;2026-03-23 10:06:36
2026-03-09;32.27;3.6;1.89;Laranja Indústria;2026-03-23 10:06:36
2026-03-06;31.15;0.0;-1.64;Laranja Indústria;2026-03-23 10:06:36
2026-03-05;31.15;-1.11;-1.64;Laranja Indústria;2026-03-23 10:06:36
2026-03-04;31.5;-0.54;-0.54;Laranja Indústria;2026-03-23 10:06:36
2026-03-03;31.67;1.34;0.0;Laranja Indústria;2026-03-23 10:06:36
2026-03-02;31.25;-1.33;-1.33;Laranja Indústria;2026-03-23 10:06:36
