data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-20;350.65;0.3;-0.71;Indicador Do Boi Gordo Cepea/Esalq;2026-03-23 10:06:06
2026-03-19;349.6;0.21;-1.01;Indicador Do Boi Gordo Cepea/Esalq;2026-03-23 10:06:06
2026-03-18;348.85;0.33;-1.22;Indicador Do Boi Gordo Cepea/Esalq;2026-03-23 10:06:06
2026-03-17;347.7;0.36;-1.54;Indicador Do Boi Gordo Cepea/Esalq;2026-03-23 10:06:06
2026-03-16;346.45;-0.04;-1.9;Indicador Do Boi Gordo Cepea/Esalq;2026-03-23 10:06:06
2026-03-13;346.6;-0.26;-1.85;Indicador Do Boi Gordo Cepea/Esalq;2026-03-23 10:06:06
2026-03-12;347.5;0.07;-1.6;Indicador Do Boi Gordo Cepea/Esalq;2026-03-23 10:06:06
2026-03-11;347.25;0.13;-1.67;Indicador Do Boi Gordo Cepea/Esalq;2026-03-23 10:06:06
2026-03-10;346.8;-0.17;-1.8;Indicador Do Boi Gordo Cepea/Esalq;2026-03-23 10:06:06
2026-03-09;347.4;0.39;-1.63;Indicador Do Boi Gordo Cepea/Esalq;2026-03-23 10:06:06
2026-03-06;346.05;-0.36;-2.01;Indicador Do Boi Gordo Cepea/Esalq;2026-03-23 10:06:06
2026-03-05;347.3;-0.39;-1.66;Indicador Do Boi Gordo Cepea/Esalq;2026-03-23 10:06:06
2026-03-04;348.65;-0.53;-1.27;Indicador Do Boi Gordo Cepea/Esalq;2026-03-23 10:06:06
2026-03-03;350.5;-0.74;-0.75;Indicador Do Boi Gordo Cepea/Esalq;2026-03-23 10:06:06
2026-03-02;353.1;-0.01;-0.01;Indicador Do Boi Gordo Cepea/Esalq;2026-03-23 10:06:06
