data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-20;372.45;0.75;5.73;Média Móvel Dos Últimos Três Indicadores (8 Dias);2026-03-23 10:05:21
2026-03-19;369.67;0.62;4.94;Média Móvel Dos Últimos Três Indicadores (8 Dias);2026-03-23 10:05:21
2026-03-18;367.41;0.62;4.3;Média Móvel Dos Últimos Três Indicadores (8 Dias);2026-03-23 10:05:21
2026-03-17;365.15;0.44;3.66;Média Móvel Dos Últimos Três Indicadores (8 Dias);2026-03-23 10:05:21
2026-03-16;363.56;1.13;3.2;Média Móvel Dos Últimos Três Indicadores (8 Dias);2026-03-23 10:05:21
2026-03-13;359.5;1.05;2.05;Média Móvel Dos Últimos Três Indicadores (8 Dias);2026-03-23 10:05:21
