data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-20;117.9;1.03;10.07;Santos (Fob);2026-03-23 10:05:06
2026-03-19;116.7;5.3;8.95;Santos (Fob);2026-03-23 10:05:06
2026-03-18;110.83;1.39;3.47;Santos (Fob);2026-03-23 10:05:06
2026-03-17;109.31;0.59;2.05;Santos (Fob);2026-03-23 10:05:06
2026-03-16;108.67;-0.76;1.46;Santos (Fob);2026-03-23 10:05:06
2026-03-13;109.5;0.17;2.23;Santos (Fob);2026-03-23 10:05:06
2026-03-12;109.31;1.57;2.05;Santos (Fob);2026-03-23 10:05:06
2026-03-11;107.62;0.71;0.48;Santos (Fob);2026-03-23 10:05:06
2026-03-10;106.86;-4.08;-0.23;Santos (Fob);2026-03-23 10:05:06
2026-03-09;111.4;2.82;4.01;Santos (Fob);2026-03-23 10:05:06
2026-03-06;108.34;2.23;1.15;Santos (Fob);2026-03-23 10:05:06
2026-03-05;105.98;3.59;-1.05;Santos (Fob);2026-03-23 10:05:06
2026-03-04;102.31;-6.84;-4.48;Santos (Fob);2026-03-23 10:05:06
2026-03-03;109.82;2.23;2.53;Santos (Fob);2026-03-23 10:05:06
2026-03-02;107.42;0.29;0.29;Santos (Fob);2026-03-23 10:05:06
